author,timestamp,likes,content,video_id,public_status
@sasonoto,2020-05-27T12:23:33Z,13,Mantap. Saya juga lagi belajar sendiri Data Science dan AI.,aXLVJO7f21c,True
@mariasastra298,2020-11-04T16:31:22Z,5,😭thank u! Bener bgt bingung hrus mulai dari mana!,aXLVJO7f21c,True
@fanikosasih698,2022-01-23T02:30:22Z,3,bang saya cek udemy yg complete python bootcamp kkok 799k yaa:'),aXLVJO7f21c,True
@Gaann7497,2021-07-23T04:11:03Z,3,"Bang, kalo machine learning bisa di aplikasikan ke geologi ga?",aXLVJO7f21c,True
@Aulia_D.Arcs.,2021-02-04T14:49:46Z,3,"Thanks bang,mungkin konten selanjutnya bisa lebih ke project implemented",aXLVJO7f21c,True
@teroahooy5276,2021-11-02T09:08:21Z,3,"Bang jadi machine leraning engineering itu ada pekerjaan ngak ya Indonesia, dan apakah pekerjaan nya tetap.",aXLVJO7f21c,True
@dit_project,2023-11-19T03:11:19Z,2,"Bang belajar machine learning di umur 15 worth it gak sih, soalnya gw udah bisa dasar python?",aXLVJO7f21c,True
@nolep5555,2023-03-27T09:51:46Z,2,"bang baru nemu channel lu, sayang gak aktif lagi di yt. Ada sosmed yg bs gw ikutin gak?",aXLVJO7f21c,True
@wayansuarsa8824,2021-02-16T07:05:16Z,2,Trims dik infonya...kebetulan sekarang anak lagi TA ngambil ML di Tekfis ITB,aXLVJO7f21c,True
@lgent2435,2021-04-01T08:22:42Z,2,Kenapa tools-nya dimulai dari TensorFlow bang? Apa keunggulan TF dibandingkan pyTorch?,aXLVJO7f21c,True
@FunGuardian,2020-11-19T04:45:38Z,1,13:20,aXLVJO7f21c,True
@dadan.dahman.w,2021-01-11T17:25:46Z,1,"Gw udh belajar python, udh lulus course juga, ada 2 course yg gw ikutin, tapi ngerasa nya masih belum siap terjun langsung di duni DS. Apa karena masih semester 5",aXLVJO7f21c,True
@andreasagungriantra3315,2021-01-21T07:57:01Z,1,Umur 23 ketinggalan gak kalo mau belajar dari awal lu sebutin? Thanks bro,aXLVJO7f21c,True
@gigihikhsani9487,2020-11-19T00:15:34Z,1,"bang ane kurang ngerti MTK nih (jadi nyesel banyak cabut pas SMA). kira2 ada harapan ga bang buat belajar ML. kalo emang ada, bisa mulainya kaya video ini ga bang?",aXLVJO7f21c,True
@rinsyarifuddin8696,2020-08-07T13:35:23Z,1,"Matematika apa yang dipelajari untuk ML, mengingat matematika banyak cabangnya???",aXLVJO7f21c,True
@fatkur,2021-02-09T10:24:05Z,1,lu belajar ML berapa lama bang? dari 0 sampek lu ngerasa lu bisa bang?,aXLVJO7f21c,True
@m.shiqofilla4246,2021-04-28T10:26:04Z,1,Bang OOP apakah bakal dibutuhkan di ML?,aXLVJO7f21c,True
@rethasigiro2259,2020-07-09T16:16:18Z,1,Keren banget kakak🤗,aXLVJO7f21c,True
@satriahanif8499,2021-10-09T04:14:33Z,1,"Bang, blajar machine learning apa harus ngerti statistik nggak sih?",aXLVJO7f21c,True
@ekkyarmandi,2021-01-30T04:00:53Z,1,Konten bagus 👍🏼👍🏼,aXLVJO7f21c,True
@nurulainifauziah8528,2021-07-07T12:28:55Z,1,"bang mau nanya, apakah kursus atau belajar itu harus yg ada sertifikatnya?",aXLVJO7f21c,True
@muhammadzakifathoni,2022-11-16T00:41:57Z,1,Ini org ajaib ya otaknya banting stir tekfis jd ml engineer. Belajar byk bahasa pemrograman jg... Tips bang,aXLVJO7f21c,True
@rethiszeno2706,2023-08-01T12:50:53Z,1,"gw masih bingung juga bang, soalnya mau ikutan bangkit kebetulan dapet learning path ML",aXLVJO7f21c,True
@Yopikwb,2022-01-31T12:13:43Z,0,Dqlab lagi diskon,aXLVJO7f21c,True
@sayidinaahmadalqososyi9770,2021-02-03T06:55:44Z,0,"Panjang lebar bgt bg untuk bahas koding aja, sampe mau seengah vidio dan diulang trus wkwkw, jadinya aku cepetin vidionya wkwkw",aXLVJO7f21c,True
@ardhiananda224,2021-01-25T21:13:04Z,0,Data Analysis sama data scient itu sama gak si?,aXLVJO7f21c,True
@timmy7774,2021-01-23T09:36:24Z,0,Mas yg jadi iklan di cake ?,aXLVJO7f21c,True
@irkhanazulfa2571,2021-01-22T23:29:13Z,0,Aku cari podcastnya kok gaada ya?,aXLVJO7f21c,True
@dederamdani9779,2023-07-24T14:26:37Z,0,"Terimakasih banget bang, sangat membantu sekali, sukses selalu bang.",aXLVJO7f21c,True
@MuthiaWidya-zg9vo,2021-01-20T09:43:40Z,0,bang...,aXLVJO7f21c,True
@RahmiFadhilahChannel,2023-10-31T02:58:19Z,0,Bang ada rekomendasi sumber belajar belajar machine learning data panel bang?,aXLVJO7f21c,True
@muhammadagung2934,2024-02-03T01:57:18Z,0,bang mtk gw harus pelajarin apaan aja?,aXLVJO7f21c,True
@zaidalkahfiramadhan7013,2020-11-10T06:43:23Z,0,bang sekarang harganya udah gaada diskon lagi. rekomendasi course lagi dengan harga terjangkau dong bang,aXLVJO7f21c,True
@Beljabar,2024-04-01T03:15:39Z,0,"contoh produk machine learning apa aja bg?
mungkin kalo tau hasil akhir machine learning,kita bisa jadi semangat belajarnya..",aXLVJO7f21c,True
@audreyasokawati8654,2020-09-22T05:19:19Z,0,Belajar bahasa R juga ka?,aXLVJO7f21c,True
@agusfirmansyah2713,2020-08-15T09:37:00Z,0,belajar pemograman di usia beraepa bang,aXLVJO7f21c,True
@Januri-mx2mn,2024-04-21T04:32:24Z,0,Bang mau belajar paython donk,aXLVJO7f21c,True
@bymaswisnu,2024-05-18T08:41:32Z,0,Thankyou bang...,aXLVJO7f21c,True
